Red,Green,Blue,Yellow
920,573,414,592
920,577,410,592
915,583,411,590
915,583,411,591
915,584,411,590
917,585,409,589
916,585,410,589
916,584,409,591
913,588,409,590
910,589,409,592
908,592,409,591
906,595,411,588
908,598,410,584
909,601,408,582
909,604,406,581
907,605,408,580
908,607,407,578
912,609,402,577
910,610,404,576
906,613,406,575
903,618,408,571
900,617,411,572
900,614,415,571
897,613,416,574
898,612,416,574
897,614,418,571
900,615,417,568
898,617,417,568
894,618,419,569
893,620,418,569
889,626,418,567
889,625,418,568
890,624,415,571
889,625,413,573
888,627,409,576
884,632,410,574
883,631,412,574
885,633,407,575
884,636,405,575
884,637,402,577
884,637,400,579
883,640,401,576
881,641,400,578
881,640,399,580
882,641,399,578
877,643,401,579
875,646,402,577
871,647,404,578
869,648,403,580
870,650,399,581
869,650,400,581
870,653,397,580
868,656,395,581
868,657,396,579
871,657,395,577
872,659,393,576
875,655,392,578
879,652,390,579
883,648,390,579
884,648,390,578
884,650,389,577
883,654,387,576
885,656,385,574
886,658,384,572
888,660,382,570
887,661,381,571
887,664,381,568
885,667,382,566
885,669,382,564
883,673,380,564
883,673,379,565
883,673,377,567
879,677,378,566
881,676,377,566
881,679,376,564
882,679,376,563
885,679,374,562
884,683,371,562
883,685,372,560
882,687,371,560
882,686,371,561
882,684,372,562
881,686,372,561
880,687,372,561
876,691,373,560
876,692,373,559
877,694,373,556
879,695,371,555
881,695,368,556
879,698,368,555
873,702,371,554
873,702,372,553
874,704,371,551
873,707,372,548
874,709,373,544
875,709,374,542
874,712,374,540
876,714,374,536
877,715,375,533
878,717,375,530
879,718,374,529
877,720,374,529
877,724,374,525
874,727,374,525
877,730,371,522
878,733,369,520
877,736,369,518
878,734,369,519
876,738,369,517
876,740,369,515
878,741,368,513
882,738,366,514
882,743,362,513
884,746,360,510
886,748,359,507
886,750,359,505
887,753,357,503
887,753,358,502
888,754,356,502
883,753,358,506
883,752,359,506
882,753,359,506
878,757,358,507
879,758,357,506
876,761,358,505
871,764,360,505
870,766,360,504
867,771,361,501
864,772,361,503
863,773,361,503
862,776,361,501
856,779,363,502
855,781,362,502
855,782,363,500
857,779,364,500
856,782,363,499
851,789,364,496
850,792,365,493
851,793,366,490
850,796,367,487
849,799,367,485
847,804,366,483
846,807,365,482
843,810,365,482
841,812,366,481
839,813,368,480
838,814,367,481
839,814,367,480
840,812,368,480
838,814,370,478
838,815,369,478
839,814,368,479
838,811,369,482
838,811,368,483
836,812,369,483
835,814,369,482
837,814,369,480
831,818,369,482
832,819,368,481
832,821,368,479
835,823,368,474
839,824,367,470
839,822,370,469
837,825,369,469
834,827,370,469
834,827,371,468
837,828,369,466
834,832,369,465
831,830,372,467
829,831,372,468
828,830,372,470
827,828,373,472
824,830,373,473
821,835,374,470
821,834,373,472
819,837,373,471
821,838,372,469
822,839,371,468
823,841,371,465
825,841,370,464
822,841,371,466
820,843,371,466
821,844,370,465
818,848,370,464
821,846,369,464
820,848,369,463
820,851,367,462
821,850,364,465
823,851,363,463
825,852,360,463
824,854,362,460
825,856,363,456
824,859,363,454
825,861,361,453
823,862,362,453
822,862,363,453
821,863,364,452
820,865,366,449
818,865,368,449
817,865,369,449
814,867,370,449
809,871,374,446
804,875,375,446
802,877,377,444
798,879,381,442
797,880,381,442
796,879,383,442
795,879,385,441
791,880,388,441
786,882,392,440
786,884,391,439
785,884,392,439
783,885,392,440
782,885,393,440
783,887,393,437
784,886,393,437
783,887,395,435
781,887,398,434
780,891,396,433
777,893,398,432
775,897,397,431
776,900,395,429
776,902,395,427
778,904,392,426
780,906,388,426
776,911,388,425
777,912,386,425
775,912,386,427
776,912,384,428
776,913,382,429
775,914,381,430
774,917,378,431
774,919,377,430
773,919,378,430
775,920,375,430
774,920,376,430
772,921,376,431
770,924,376,430
766,925,377,432
762,929,378,431
764,930,376,430
764,929,376,431
765,926,377,432
766,923,378,433
767,920,378,435
766,922,378,434
765,925,378,432
763,925,379,433
763,928,377,432
764,929,376,431
762,929,377,432
762,928,378,432
762,927,380,431
765,928,379,428
765,930,377,428
764,932,375,429
764,934,375,427
765,934,374,427
762,938,373,427
763,939,373,425
763,942,372,423
762,944,371,423
762,942,372,424
764,939,374,423
764,937,376,423
766,933,378,423
767,933,377,423
765,934,376,425
765,933,376,426
765,934,375,426
764,934,375,427
763,935,374,428
760,937,375,428
759,939,376,426
755,942,376,427
758,943,374,425
759,945,374,422
759,948,374,419
759,949,375,417
757,953,373,417
756,955,370,419
755,954,372,419
751,957,371,421
750,958,369,423
747,962,369,422
748,961,368,423
744,966,366,424
746,964,368,422
741,967,370,422
742,968,369,421
740,969,369,422
741,969,368,422
745,968,367,420
746,970,366,418
746,972,367,415
741,977,368,414
743,976,368,413
742,977,368,413
739,980,369,412
739,983,367,411
738,985,368,409
738,986,367,409
737,987,366,410
736,988,366,410
736,989,365,410
736,989,364,411
731,991,367,411
729,995,366,410
728,997,366,409
728,999,367,406
728,1002,364,406
728,1006,362,404
729,1006,361,404
730,1006,361,403
730,1007,361,402
731,1009,360,400
733,1010,358,399
734,1010,360,396
737,1010,358,395
738,1010,356,396
739,1010,355,396
740,1009,355,396
742,1011,353,394
741,1014,354,391
740,1015,354,391
739,1016,354,391
739,1017,353,391
740,1016,353,391
741,1016,353,390
740,1017,353,390
739,1019,352,390
740,1019,351,390
738,1021,352,389
737,1023,351,389
736,1023,353,388
737,1023,352,388
738,1023,352,387
738,1025,352,385
736,1027,352,385
734,1029,354,383
736,1025,358,381
738,1022,360,380
740,1020,361,379
741,1020,360,379
741,1018,363,378
742,1013,366,379
744,1010,367,379
742,1011,368,379
740,1012,369,379
737,1014,370,379
735,1017,370,378
735,1017,371,377
734,1018,371,377
732,1020,372,376
730,1023,371,376
729,1025,371,375
728,1023,373,376
729,1023,371,377
728,1025,370,377
728,1026,370,376
731,1026,368,375
734,1023,368,375
735,1022,367,376
735,1024,365,376
734,1026,364,376
736,1023,364,377
736,1022,364,378
734,1023,364,379
732,1026,366,376
729,1029,369,373
726,1032,369,373
725,1032,370,373
724,1035,369,372
722,1039,368,371
721,1039,370,370
721,1038,370,371
720,1039,371,370
721,1038,371,370
719,1040,372,369
717,1043,373,367
717,1043,374,366
718,1043,374,365
717,1045,374,364
716,1047,374,363
715,1049,374,362
715,1049,375,361
717,1048,374,361
720,1048,373,359
720,1047,374,359
721,1048,374,357
720,1051,374,355
720,1051,374,355
719,1051,377,353
720,1050,377,353
719,1053,376,352
717,1055,377,351
715,1059,376,350
713,1064,376,347
713,1067,375,345
711,1070,375,344
710,1070,375,345
711,1071,375,343
712,1071,375,342
712,1075,374,339
709,1077,375,339
707,1077,376,340
707,1075,377,341
704,1080,377,339
705,1079,377,339
705,1078,378,339
704,1079,377,340
706,1076,377,341
705,1077,378,340
705,1078,377,340
702,1081,376,341
704,1082,374,340
705,1081,375,339
703,1079,378,340
702,1080,377,341
706,1077,377,340
707,1075,378,340
709,1075,376,340
712,1074,374,340
714,1074,372,340
713,1078,369,340
710,1082,369,339
710,1083,367,340
711,1084,365,340
710,1085,364,341
710,1087,363,340
712,1089,361,338
711,1089,361,339
711,1091,360,338
712,1091,360,337
714,1091,359,336
714,1088,361,337
716,1087,361,336
717,1086,361,336
720,1085,359,336
725,1083,356,336
727,1081,356,336
728,1080,356,336
729,1079,355,337
729,1080,353,338
729,1081,351,339
730,1078,352,340
733,1076,351,340
731,1078,350,341
733,1079,347,341
733,1080,345,342
736,1081,340,343
739,1082,335,344
740,1082,334,344
741,1083,331,345
741,1085,329,345
742,1087,327,344
745,1086,325,344
744,1089,324,343
746,1090,321,343
745,1092,321,342
746,1092,321,341
745,1094,320,341
748,1094,317,341
747,1096,317,340
746,1096,318,340
742,1099,319,340
740,1103,319,338
737,1105,320,338
738,1106,320,336
737,1106,320,337
736,1106,322,336
734,1107,323,336
735,1106,324,335
733,1107,326,334
733,1108,326,333
735,1108,324,333
736,1111,322,331
738,1112,320,330
740,1113,319,328
742,1114,318,326
741,1117,317,325
740,1120,317,323
740,1121,315,324
740,1123,313,324
740,1123,313,324
739,1125,312,324
740,1126,311,323
739,1126,312,323
739,1125,313,323
738,1127,313,322
736,1128,314,322
734,1129,315,322
733,1129,316,322
732,1131,316,321
731,1132,316,321
726,1136,317,321
725,1137,317,321
724,1137,318,321
724,1138,318,320
724,1139,318,319
725,1137,318,320
726,1136,318,320
725,1135,319,321
725,1135,319,321
725,1136,318,321
725,1136,318,321
724,1136,318,322
720,1138,320,322
720,1138,320,322
720,1139,319,322
721,1138,319,322
720,1138,319,323
720,1138,319,323
720,1139,318,323
720,1140,317,323
721,1140,316,323
722,1139,316,323
724,1137,315,324
726,1135,314,325
728,1136,312,324
727,1136,312,325
725,1136,314,325
724,1136,315,325
724,1137,314,325
724,1137,313,326
722,1138,314,326
722,1138,313,327
722,1138,313,327
721,1137,314,328
722,1136,314,328
724,1134,314,328
724,1133,314,329
723,1135,313,329
725,1136,310,329
727,1134,310,329
728,1132,311,329
728,1133,310,329
726,1134,311,329
726,1133,312,329
727,1130,313,330
727,1131,312,330
726,1130,314,330
724,1132,314,330
724,1132,313,331
723,1134,312,331
724,1133,312,331
725,1132,312,331
724,1132,313,331
723,1132,314,331
721,1133,315,331
721,1134,313,332
721,1133,313,333
720,1134,313,333
718,1137,312,333
718,1137,313,332
718,1137,315,330
718,1139,316,327
717,1140,316,327
718,1139,316,327
720,1137,316,327
721,1135,318,326
722,1133,318,327
722,1133,319,326
723,1133,319,325
722,1133,319,326
722,1133,320,325
724,1132,318,326
723,1132,319,326
724,1131,318,327
723,1132,319,326
723,1132,319,326
722,1133,319,326
723,1132,319,326
722,1132,320,326
722,1132,320,326
721,1134,320,325
719,1137,322,322
720,1137,321,322
720,1136,322,322
719,1136,324,321
720,1135,323,322
720,1134,324,322
720,1136,321,323
719,1136,322,323
720,1136,320,324
721,1135,320,324
724,1132,321,323
724,1133,320,323
723,1134,320,323
724,1133,319,324
726,1130,320,324
727,1130,319,324
727,1132,316,325
727,1133,314,326
726,1137,311,326
727,1137,309,327
728,1136,309,327
726,1140,308,326
723,1144,308,325
721,1145,308,326
718,1149,309,324
717,1151,309,323
719,1151,307,323
718,1154,306,322
715,1158,306,321
714,1161,304,321
711,1163,305,321
710,1162,306,322
709,1162,306,323
711,1163,302,324
712,1162,302,324
714,1162,301,323
714,1164,300,322
712,1166,300,322
710,1169,299,322
708,1170,300,322
708,1171,299,322
708,1171,299,322
708,1172,299,321
706,1174,299,321
705,1176,299,320
704,1176,300,320
702,1178,301,319
702,1178,301,319
701,1179,302,318
701,1178,303,318
701,1177,304,318
700,1178,304,318
699,1177,306,318
699,1177,307,317
698,1178,308,316
699,1178,308,315
699,1180,306,315
700,1181,307,312
699,1183,305,313
698,1185,304,313
697,1187,302,314
694,1189,303,314
692,1192,302,314
689,1195,303,313
687,1197,303,313
687,1198,302,313
686,1202,300,312
686,1203,299,312
686,1205,299,310
685,1205,300,310
684,1207,298,311
684,1207,299,310
683,1208,299,310
683,1208,299,310
682,1210,299,309
683,1211,296,310
684,1211,294,311
681,1213,294,312
679,1215,293,313
677,1218,293,312
676,1220,292,312
674,1222,291,313
672,1226,290,312
671,1228,288,313
671,1228,287,314
672,1226,289,313
672,1226,290,312
671,1227,290,312
670,1227,290,313
668,1229,291,312
668,1229,291,312
666,1232,290,312
666,1234,288,312
664,1237,287,312
661,1238,288,313
660,1239,288,313
661,1239,288,312
660,1239,288,313
658,1241,287,314
658,1240,288,314
657,1241,289,313
656,1241,290,313
654,1243,291,312
653,1245,291,311
653,1243,292,312
653,1245,291,311
652,1247,291,310
653,1247,290,310
653,1247,290,310
651,1250,289,310
649,1253,288,310
648,1255,287,310
649,1254,287,310
649,1252,289,310
648,1254,289,309
648,1254,289,309
648,1255,288,309
648,1255,288,309
646,1256,289,309
646,1256,289,309
646,1256,289,309
646,1257,288,309
646,1258,288,308
647,1259,287,307
644,1262,287,307
645,1261,287,307
645,1262,286,307
645,1262,286,307
645,1261,287,307
646,1260,288,306
646,1260,288,306
644,1262,288,306
643,1261,290,306
641,1263,290,306
642,1261,291,306
642,1260,292,306
641,1260,294,305
641,1259,295,305
642,1257,296,305
641,1256,298,305
643,1253,299,305
643,1254,298,305
643,1253,299,305
644,1252,299,305
644,1251,300,305
643,1251,301,305
642,1253,301,304
640,1258,299,303
638,1259,300,303
636,1260,302,302
634,1260,304,302
634,1259,305,302
631,1263,304,302
630,1263,306,301
627,1267,305,301
624,1269,306,301
624,1268,307,301
625,1270,304,301
626,1271,302,301
628,1269,302,301
629,1269,302,300
629,1271,301,299
631,1271,299,299
632,1272,298,298
632,1272,298,298
631,1274,297,298
630,1275,297,298
629,1278,296,297
630,1278,296,296
631,1279,295,295
632,1281,294,293
632,1282,293,293
631,1283,293,293
631,1282,294,293
631,1282,294,293
631,1282,294,293
630,1284,292,294
631,1283,292,294
631,1285,291,293
631,1286,290,293
632,1285,290,293
629,1290,289,292
628,1293,287,292
630,1294,285,291
630,1296,283,291
631,1297,281,291
632,1298,278,292
631,1300,278,291
632,1302,276,290
631,1303,277,289
633,1302,276,289
632,1303,276,289
630,1304,277,289
631,1305,276,288
631,1306,275,288
631,1306,275,288
631,1305,276,288
632,1305,275,288
633,1307,272,288
633,1307,272,288
632,1310,271,287
632,1309,272,287
631,1311,272,286
631,1312,271,286
631,1312,272,285
632,1312,270,286
632,1313,269,286
632,1314,268,286
631,1316,267,286
632,1317,265,286
634,1316,264,286
633,1318,264,285
632,1318,264,286
631,1320,264,285
631,1318,265,286
630,1318,265,287
629,1319,265,287
629,1318,266,287
629,1318,266,287
630,1318,265,287
631,1317,265,287
631,1316,266,287
630,1317,266,287
629,1318,265,288
627,1320,265,288
626,1321,265,288
624,1323,264,289
625,1322,264,289
625,1323,263,289
623,1325,263,289
621,1327,262,290
621,1326,263,290
620,1326,263,291
619,1326,263,292
618,1325,264,293
618,1323,265,294
618,1322,266,294
618,1324,265,293
618,1327,262,293
618,1327,262,293
618,1327,262,293
617,1329,261,293
619,1329,260,292
621,1329,261,289
620,1330,261,289
620,1330,263,287
620,1330,263,287
622,1331,262,285
623,1334,260,283
624,1336,259,281
624,1339,258,279
624,1341,257,278
623,1344,256,277
625,1343,255,277
626,1342,255,277
627,1343,255,275
627,1344,254,275
627,1343,255,275
627,1344,255,274
627,1346,253,274
627,1344,254,275
628,1345,252,275
629,1344,252,275
630,1342,253,275
629,1343,252,276
629,1343,251,277
627,1343,252,278
627,1343,252,278
628,1342,253,277
629,1342,254,275
629,1342,253,276
630,1341,254,275
632,1339,254,275
631,1342,252,275
631,1341,252,276
632,1343,251,274
633,1341,252,274
634,1340,252,274
634,1339,252,275
634,1340,250,276
634,1342,249,275
634,1343,248,275
634,1342,248,276
634,1344,247,275
634,1345,245,276
633,1348,242,277
633,1349,241,277
632,1352,239,277
631,1353,239,277
632,1353,239,276
632,1353,239,276
632,1356,237,275
631,1357,237,275
633,1357,238,272
635,1355,239,271
634,1356,239,271
634,1355,240,271
635,1353,241,271
635,1354,240,271
636,1354,239,271
637,1354,240,269
636,1355,239,270
638,1354,238,270
639,1357,234,270
